"Study","Y","V_1","V_2","V_3","V_4","V_5","V_6"
1,-35.8601087348648,-6.35150910647147,2.43383725215124,6.8599310342891,4.71038654477625,-8.97575957408228,-11.2960078542299
1,-41.78650118832,-7.52078630686809,2.87772603480004,8.40004146376763,4.04631607363911,-9.97393151150888,-8.89447837864195
1,-39.3279792949232,-7.51029596693493,1.10850682504716,8.16444212800852,3.53933915578242,-9.83664549483792,-8.70075325930604
1,-31.0631338212016,-6.77785592627617,0.0879007902336539,8.42748289079203,4.7861353281087,-7.36479306055918,-8.90139005407322
1,-45.5999930363913,-6.20348270654127,1.39260922357141,6.86651497664026,1.70288210692516,-12.5584595703415,-7.88016574944704
1,-38.8408674170494,-6.74145303241298,3.01042172123824,7.49067131132942,3.10610462719631,-9.92537128365856,-9.48938747613781
1,-33.0052356068567,-5.60893083021421,3.46992050912124,8.38832854886308,4.79019570270253,-9.2007147644543,-10.9135625641023
1,-40.7882617398618,-6.49353558224063,2.95768313434181,7.49433823997125,3.02871704456616,-11.0196749914222,-7.97940570734632
1,-33.546210098624,-6.2200144787884,-0.567522692182875,7.65359252901121,4.12306526692794,-8.68312051904269,-9.95088584381616
1,-41.8813048552812,-7.12163523086518,2.62396202845727,7.87084280728953,3.87618013776074,-10.6197484284698,-8.55761208953673
1,-39.308490558298,-5.43023103165778,3.59281312231516,7.62778497533325,5.0021982965846,-11.1352639825355,-9.95861975915807
1,-43.5427653842436,-5.86942378558675,2.70489125372739,7.92053783554843,3.60125145347509,-12.0898894316604,-11.9955504525492
1,-40.2624322577662,-7.44456485619307,0.848581484923145,5.18399925798827,3.52583243135814,-9.24711434404229,-9.02651357979108
1,-42.400295069068,-6.814291074408,1.76329011861398,6.1241034567679,3.41831495787069,-10.5782722737351,-9.93562671098029
1,-48.6741591134133,-8.06996818742794,1.00094681155261,5.54510608192356,2.93511804833655,-11.4599262249348,-8.62897252617804
1,-29.2586670199644,-5.07196804739366,0.358590441407464,10.2398332678174,5.84148474504233,-7.88243926275267,-11.6955656815251
1,-47.8561041552401,-9.19653613306971,2.66015532776107,6.31177537941963,2.97875646655307,-10.7831957086725,-7.49375223645798
1,-51.9708542268595,-7.92954757292118,2.06703035801161,8.40568415284238,1.18253406424578,-13.3694494068009,-8.45532620462593
1,-40.7828400962147,-6.42136246168128,3.03253773037917,8.95165547192096,3.71894551646471,-10.4055207459722,-9.71773199676024
1,-42.9119913940915,-7.71241864327601,1.96009694140329,8.66081665707637,4.38250111124239,-10.248069390693,-7.59686299159884
1,-35.3211478887619,-7.55679504025991,1.12297073253084,7.88329703299793,4.37996519181684,-7.96376538335564,-8.95308585026298
1,-44.564572318183,-8.09745251870603,1.37883685753839,8.24516755165744,2.00385992116444,-10.7990112596428,-7.8486570536159
1,-39.2371394141114,-6.38043870592079,1.24121007144579,9.47647243363444,4.50193633413381,-9.95579950548447,-10.5445392616891
1,-33.5567964839968,-7.20968876647012,0.531738747601918,7.14775739625833,3.70669271937619,-7.91006838203234,-9.56990826669652
